*******************************************************************************
 Revised: Jun 11, 2025      Nancy Grace Roman Space Telescope              -211
                  https://science.nasa.gov/mission/roman-space-telescope/
                               https://roman.gsfc.nasa.gov/
 
 BACKGROUND:
  The Nancy Grace Roman Space Telescope is a next-generation observatory 
  due for nominal launch in October of 2026, but no later than May 2027. 
  The mission lifetime is at least five years. It can be refueled in-flight 
  robotically.

  It is to be launched on a Falcon Heavy from Kennedy Space Center and 
  orbit the Earth-Sun L2.

  Objectives:
   * Search for extra-solar planets using gravitational microlensing
   * Probe chronology of the universe and growth of cosmic structure
   * Measure effects of dark energy, consistency of general relativity 
      and the curvature of spacetime
   * Detection of primordial black holes
 
 Roman Space Telescope:
   * Primary mirror size: 2.4 m
   * Primary mirror effective diameter: 2.36 m (aperture stop diameter)
   * Operating temperature: 298 K
   * Spacecraft bus 
       Downlink rate: 250-500 Mbps
       Data volume  : 11 Tbits/day

  Instruments:
   * Wide Field Instrument (WFI)
      300.8-megapixel camera providing multiband visible to near-infrared 
      (0.48 to 2.30-um imaging using one wideband and six narrowband filters.
   * Coronagraph Instrument
      High contrast covering wavelengths (575 nm to 825 nm) w/dual deformable 
      mirror starlight-suppression technology, enabling detection and 
      spectroscopy of planets with visual separation greater than 0.15 
      arcseconds from host stars
 
 SPACECRAFT TRAJECTORY:
   Pre-launch planning trajectory created by the flight project 2024-May-8.
   Trajectory assumes launch 2026-Oct-30.

 Trajectory files                             Start (TDB)         End (TDB) 
 ----------------------------------------  -----------------  -----------------
 RST_103026                                2026-Oct-30 07:07  2032-Jan-28 21:04
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Apr  4 16:08:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Roman Space Telescope (spacecraft) (-211) {source: RST_merged_DE430}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Oct-30 08:00:00.0000 TDB
Stop  time      : A.D. 2032-Jan-28 21:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461343.833333333, A.D. 2026-Oct-30 08:00:00.0000,  7.969199077039805E-01,  5.862812570607260E-01,  5.550683083132422E-05, -1.452219862683409E-02,  1.424060105667267E-02,  3.989000125975975E-04,  5.713990474721946E-03,  9.893467818498396E-01, -3.258725472220672E-03,
2461344.833333333, A.D. 2026-Oct-31 08:00:00.0000,  7.874225365156128E-01,  6.007513403168080E-01,  1.080489927210506E-04, -1.004122707098733E-02,  1.430077734963248E-02,  7.094044112004076E-05,  5.720202450536322E-03,  9.904223521204009E-01,  6.911499260649519E-04,
2461345.833333333, A.D. 2026-Nov-01 08:00:00.0000,  7.771051168113410E-01,  6.148679797637746E-01,  1.749006533717959E-04, -1.052700083580905E-02,  1.395454554613482E-02,  6.165129175959688E-05,  5.723171567466873E-03,  9.909364387807080E-01,  4.032829770918008E-04,
2461346.833333333, A.D. 2026-Nov-02 08:00:00.0000,  7.664201879604482E-01,  6.286840620679607E-01,  2.318401747078416E-04, -1.084520202237891E-02,  1.368239561128420E-02,  5.342552338843271E-05,  5.725177863485378E-03,  9.912838181678679E-01,  2.924840092526206E-04,
2461347.833333333, A.D. 2026-Nov-03 08:00:00.0000,  7.554275959166756E-01,  6.422400531661807E-01,  2.823652871177326E-04, -1.113559751519369E-02,  1.343199892361894E-02,  4.787128852872596E-05,  5.726633118147780E-03,  9.915357877018368E-01,  2.162741503479095E-04,
2461348.833333333, A.D. 2026-Nov-04 08:00:00.0000,  7.441557423869755E-01,  6.555513839590358E-01,  3.279647248043499E-04, -1.140544480864511E-02,  1.319178386448687E-02,  4.347706048153791E-05,  5.727717233719910E-03,  9.917234964943497E-01,  1.618184705024365E-04,
2461349.833333333, A.D. 2026-Nov-05 08:00:00.0000,  7.326211484412228E-01,  6.686251659890990E-01,  3.695625250270659E-04, -1.166185822565755E-02,  1.295628398202823E-02,  3.981808443492534E-05,  5.728526681571647E-03,  9.918636480453080E-01,  1.201659899042494E-04,
2461350.833333333, A.D. 2026-Nov-06 08:00:00.0000,  7.208353365593650E-01,  6.814645840806121E-01,  4.077682684730106E-04, -1.190829225247029E-02,  1.272271747830369E-02,  3.666411040349596E-05,  5.729121260779999E-03,  9.919665962439338E-01,  8.687638460587796E-05,
2461351.833333333, A.D. 2026-Nov-07 08:00:00.0000,  7.088072473878934E-01,  6.940707096536153E-01,  4.430125414346659E-04, -1.214665194794164E-02,  1.248949637878853E-02,  3.387708346908172E-05,  5.729541417258560E-03,  9.920393440830799E-01,  5.944692714789070E-05,
